mRNA_ID	Length
Pavir.1KG023100.2.v5.1	2276
Pavir.1KG023400.1.v5.1	1988
Pavir.1KG023600.1.v5.1	1311
Pavir.1KG023900.2.v5.1	3567
Pavir.1KG024100.1.v5.1	3239
Pavir.1KG024200.2.v5.1	1599
Pavir.1KG024300.1.v5.1	823
Pavir.1KG024400.1.v5.1	2178
Pavir.1KG024500.1.v5.1	2071
Pavir.1KG024600.1.v5.1	1560
Pavir.1KG024700.6.v5.1	3507
Pavir.1KG024800.2.v5.1	993
Pavir.1KG024809.1.v5.1	786
Pavir.1KG025000.1.v5.1	947
Pavir.1KG025100.1.v5.1	647
Pavir.1KG025109.1.v5.1	1107
Pavir.1KG025200.1.v5.1	1501
Pavir.1KG025300.1.v5.1	1959
Pavir.1KG025400.1.v5.1	1605
Pavir.1KG025500.3.v5.1	1796
Pavir.1KG025700.1.v5.1	1837
Pavir.1KG025800.2.v5.1	714
Pavir.1KG025900.1.v5.1	447
Pavir.1KG026000.1.v5.1	372
Pavir.1KG026009.1.v5.1	1842
Pavir.1KG026100.1.v5.1	2626
Pavir.1KG026300.1.v5.1	2122
Pavir.1KG026500.3.v5.1	2438
Pavir.1KG026600.3.v5.1	2346
Pavir.1KG026601.1.v5.1	645
Pavir.1KG026609.1.v5.1	324
Pavir.1KG026700.2.v5.1	1994
Pavir.1KG026701.1.v5.1	1718
Pavir.1KG026709.1.v5.1	2665
Pavir.1KG026718.1.v5.1	321
Pavir.1KG026727.2.v5.1	4022
Pavir.1KG026736.2.v5.1	2100
Pavir.1KG026800.1.v5.1	1330
Pavir.1KG026809.1.v5.1	2372
Pavir.1KG026818.1.v5.1	1454
Pavir.1KG026900.3.v5.1	1967
Pavir.1KG027000.1.v5.1	1754
Pavir.1KG027100.3.v5.1	3003
Pavir.1KG027200.1.v5.1	1068
Pavir.1KG027233.1.v5.1	681
Pavir.1KG027266.1.v5.1	793
Pavir.1KG027300.2.v5.1	1532
Pavir.1KG027400.1.v5.1	1379
Pavir.1KG027600.2.v5.1	2011
Pavir.1KG027900.3.v5.1	1819
Pavir.1KG027905.1.v5.1	768
Pavir.1KG027910.1.v5.1	1545
Pavir.1KG027915.1.v5.1	2729
Pavir.1KG027920.2.v5.1	2541
Pavir.1KG027925.1.v5.1	2817
Pavir.1KG027930.1.v5.1	1851
Pavir.1KG027935.2.v5.1	1441
Pavir.1KG027940.1.v5.1	1971
Pavir.1KG027945.1.v5.1	840
Pavir.1KG027950.1.v5.1	1551
Pavir.1KG028000.1.v5.1	246
Pavir.1KG028300.1.v5.1	213
Pavir.1KG028350.1.v5.1	213
Pavir.1KG028400.1.v5.1	222
Pavir.1KG028800.1.v5.1	1701
Pavir.1KG028900.1.v5.1	1931
Pavir.1KG028940.1.v5.1	231
Pavir.1KG028980.1.v5.1	231
Pavir.1KG029020.1.v5.1	228
Pavir.1KG029060.2.v5.1	2265
Pavir.1KG029100.2.v5.1	6423
Pavir.1KG029300.2.v5.1	1221
Pavir.1KG029400.1.v5.1	1738
Pavir.1KG029500.1.v5.1	711
Pavir.1KG029700.3.v5.1	2059
Pavir.1KG029900.1.v5.1	1779
Pavir.1KG030050.1.v5.1	285
Pavir.1KG030200.1.v5.1	1752
Pavir.1KG030300.3.v5.1	1337
Pavir.1KG030400.2.v5.1	1023
Pavir.1KG030500.1.v5.1	991
Pavir.1KG030600.1.v5.1	1828
Pavir.1KG030701.1.v5.1	795
Pavir.1KG030800.4.v5.1	3069
Pavir.1KG030950.1.v5.1	945
Pavir.1KG031100.1.v5.1	1083
Pavir.1KG031200.1.v5.1	1377
Pavir.1KG031300.2.v5.1	2319
Pavir.1KG031400.4.v5.1	2136
Pavir.1KG031600.1.v5.1	1844
Pavir.1KG031700.2.v5.1	714
Pavir.1KG031800.1.v5.1	267
Pavir.1KG031900.1.v5.1	1398
Pavir.1KG032000.2.v5.1	2953
Pavir.1KG032100.1.v5.1	4996
Pavir.1KG032200.2.v5.1	1587
Pavir.1KG032300.1.v5.1	1292
Pavir.1KG032400.1.v5.1	1149
Pavir.1KG032500.3.v5.1	925
Pavir.1KG032600.3.v5.1	845
Pavir.1KG032650.1.v5.1	507
Pavir.1KG032700.2.v5.1	1645
Pavir.1KG032800.8.v5.1	3611
Pavir.1KG032900.3.v5.1	1867
Pavir.1KG033200.1.v5.1	1184
Pavir.1KG033275.2.v5.1	2277
Pavir.1KG033350.1.v5.1	402
Pavir.1KG033425.1.v5.1	438
Pavir.1KG033500.1.v5.1	1599
Pavir.1KG033600.1.v5.1	2276
Pavir.1KG033800.2.v5.1	828
Pavir.1KG033805.1.v5.1	219
Pavir.1KG033810.1.v5.1	282
Pavir.1KG033815.1.v5.1	622
Pavir.1KG033820.1.v5.1	723
Pavir.1KG033900.1.v5.1	619
Pavir.1KG033905.1.v5.1	831
Pavir.1KG033910.1.v5.1	219
Pavir.1KG033915.1.v5.1	294
Pavir.1KG033920.1.v5.1	858
Pavir.1KG033925.1.v5.1	219
Pavir.1KG033930.1.v5.1	216
Pavir.1KG033935.1.v5.1	731
Pavir.1KG033940.1.v5.1	258
Pavir.1KG033945.1.v5.1	219
Pavir.1KG033950.1.v5.1	285
Pavir.1KG033955.1.v5.1	636
Pavir.1KG033960.1.v5.1	219
Pavir.1KG033965.1.v5.1	216
Pavir.1KG033970.1.v5.1	285
Pavir.1KG034100.1.v5.1	771
Pavir.1KG034200.1.v5.1	1434
Pavir.1KG034300.1.v5.1	4034
Pavir.1KG034400.4.v5.1	2753
Pavir.1KG034550.1.v5.1	399
Pavir.1KG034700.1.v5.1	635
Pavir.1KG034800.1.v5.1	1305
Pavir.1KG034900.2.v5.1	1009
Pavir.1KG035000.1.v5.1	1209
Pavir.1KG035100.1.v5.1	1970
Pavir.1KG035300.1.v5.1	1759
Pavir.1KG035400.3.v5.1	3556
Pavir.1KG035500.1.v5.1	225
Pavir.1KG035700.1.v5.1	2260
Pavir.1KG036200.1.v5.1	2555
Pavir.1KG036300.3.v5.1	1374
Pavir.1KG036400.1.v5.1	2100
Pavir.1KG036500.4.v5.1	9293
Pavir.1KG036600.1.v5.1	210
Pavir.1KG036700.5.v5.1	1871
Pavir.1KG036800.1.v5.1	3117
Pavir.1KG036900.1.v5.1	845
Pavir.1KG037177.1.v5.1	447
Pavir.1KG037200.2.v5.1	1070
Pavir.1KG037277.1.v5.1	1713
Pavir.1KG037300.1.v5.1	2738
Pavir.1KG037400.1.v5.1	2169
Pavir.1KG037500.1.v5.1	561
Pavir.1KG037600.1.v5.1	1472
Pavir.1KG037700.1.v5.1	676
Pavir.1KG037800.1.v5.1	519
Pavir.1KG038100.4.v5.1	3136
Pavir.1KG038200.1.v5.1	2219
Pavir.1KG038400.3.v5.1	2453
Pavir.1KG038477.1.v5.1	819
Pavir.1KG038500.3.v5.1	2265
Pavir.1KG038600.1.v5.1	1208
Pavir.1KG038700.1.v5.1	1996
Pavir.1KG038800.1.v5.1	1654
Pavir.1KG038854.1.v5.1	558
Pavir.1KG038900.3.v5.1	1033
Pavir.1KG039200.1.v5.1	1094
Pavir.1KG039231.1.v5.1	3082
Pavir.1KG039400.5.v5.1	2884
Pavir.1KG039500.3.v5.1	2633
Pavir.1KG039700.10.v5.1	2150
Pavir.1KG039800.1.v5.1	2350
Pavir.1KG039877.1.v5.1	330
Pavir.1KG040077.1.v5.1	240
Pavir.1KG040177.2.v5.1	2026
Pavir.1KG040200.2.v5.1	1655
Pavir.1KG040300.4.v5.1	4224
Pavir.1KG040454.1.v5.1	183
Pavir.1KG040677.1.v5.1	1436
Pavir.1KG040700.2.v5.1	3817
Pavir.1KG040800.8.v5.1	2549
Pavir.1KG040900.1.v5.1	1203
Pavir.1KG041077.1.v5.1	1008
Pavir.1KG041277.1.v5.1	4442
Pavir.1KG041400.9.v5.1	6461
Pavir.1KG041654.5.v5.1	1726
Pavir.1KG041700.2.v5.1	3290
Pavir.1KG041777.1.v5.1	336
Pavir.1KG042000.1.v5.1	468
Pavir.1KG042031.1.v5.1	1168
Pavir.1KG042100.3.v5.1	4625
Pavir.1KG042154.1.v5.1	1003
Pavir.1KG042300.1.v5.1	2550
Pavir.1KG042408.1.v5.1	456
Pavir.1KG042477.1.v5.1	330
Pavir.1KG042500.2.v5.1	992
Pavir.1KG042531.1.v5.1	681
Pavir.1KG042600.2.v5.1	2349
Pavir.1KG042700.1.v5.1	2039
Pavir.1KG042785.1.v5.1	3616
Pavir.1KG042800.2.v5.1	390
Pavir.1KG042900.1.v5.1	1881
Pavir.1KG042908.1.v5.1	501
Pavir.1KG043077.1.v5.1	1357
Pavir.1KG043162.1.v5.1	1071
Pavir.1KG043200.1.v5.1	1185
Pavir.1KG043277.1.v5.1	186
Pavir.1KG043300.2.v5.1	2334
Pavir.1KG043500.1.v5.1	2572
Pavir.1KG043539.1.v5.1	1185
Pavir.1KG043600.2.v5.1	1819
Pavir.1KG043800.2.v5.1	3594
Pavir.1KG043900.20.v5.1	2360
Pavir.1KG044000.2.v5.1	1966
Pavir.1KG044100.4.v5.1	2274
Pavir.1KG044200.1.v5.1	486
Pavir.1KG044400.1.v5.1	585
Pavir.1KG044500.7.v5.1	796
Pavir.1KG044600.24.v5.1	4794
Pavir.1KG044800.1.v5.1	957
Pavir.1KG044977.1.v5.1	2177
Pavir.1KG045000.2.v5.1	3740
Pavir.1KG045100.8.v5.1	888
Pavir.1KG045200.7.v5.1	5430
Pavir.1KG045300.2.v5.1	3858
Pavir.1KG045400.1.v5.1	688
Pavir.1KG045500.2.v5.1	1025
Pavir.1KG045600.1.v5.1	336
Pavir.1KG045700.10.v5.1	4939
Pavir.1KG045800.2.v5.1	2208
Pavir.1KG045900.1.v5.1	2223
Pavir.1KG046000.2.v5.1	1215
Pavir.1KG046100.1.v5.1	1609
Pavir.1KG046200.2.v5.1	3025
Pavir.1KG046300.1.v5.1	2349
Pavir.1KG046377.1.v5.1	3441
Pavir.1KG046477.1.v5.1	591
Pavir.1KG046500.1.v5.1	2732
Pavir.1KG046577.1.v5.1	2574
Pavir.1KG046700.1.v5.1	9104
Pavir.1KG046800.1.v5.1	1263
Pavir.1KG046900.1.v5.1	1113
Pavir.1KG047000.2.v5.1	2899
Pavir.1KG047100.3.v5.1	1788
Pavir.1KG047200.2.v5.1	840
Pavir.1KG047277.1.v5.1	2077
Pavir.1KG047300.1.v5.1	1490
Pavir.1KG047500.1.v5.1	2432
Pavir.1KG047600.2.v5.1	1964
Pavir.1KG047654.1.v5.1	3559
Pavir.1KG047677.1.v5.1	738
Pavir.1KG047700.1.v5.1	1038
Pavir.1KG048100.1.v5.1	3869
Pavir.1KG048200.4.v5.1	2783
Pavir.1KG048300.5.v5.1	2135
Pavir.1KG048400.2.v5.1	570
Pavir.1KG048500.1.v5.1	2547
Pavir.1KG048600.1.v5.1	2211
Pavir.1KG048700.3.v5.1	2903
Pavir.1KG048900.11.v5.1	4700
Pavir.1KG049077.1.v5.1	318
Pavir.1KG049100.2.v5.1	1026
Pavir.1KG049200.2.v5.1	2471
Pavir.1KG049277.1.v5.1	398
Pavir.1KG049300.2.v5.1	1630
Pavir.1KG049400.1.v5.1	951
Pavir.1KG049577.1.v5.1	975
Pavir.1KG049900.2.v5.1	1295
Pavir.1KG049954.1.v5.1	728
Pavir.1KG050100.1.v5.1	352
Pavir.1KG050200.1.v5.1	603
Pavir.1KG050277.1.v5.1	276
Pavir.1KG050300.3.v5.1	3185
Pavir.1KG050331.1.v5.1	2277
Pavir.1KG050400.1.v5.1	4026
Pavir.1KG050477.1.v5.1	1313
Pavir.1KG050600.3.v5.1	1921
Pavir.1KG050654.2.v5.1	1701
Pavir.1KG050677.1.v5.1	324
Pavir.1KG050708.4.v5.1	758
Pavir.1KG050977.1.v5.1	772
Pavir.1KG051000.1.v5.1	1048
Pavir.1KG051085.1.v5.1	525
Pavir.1KG051300.2.v5.1	7161
Pavir.1KG051354.1.v5.1	1253
Pavir.1KG051377.1.v5.1	997
Pavir.1KG051400.2.v5.1	1105
Pavir.1KG051500.3.v5.1	2879
Pavir.1KG051600.1.v5.1	3848
Pavir.1KG051754.1.v5.1	591
Pavir.1KG051800.2.v5.1	3420
Pavir.1KG052000.1.v5.1	1593
Pavir.1KG052177.1.v5.1	432
Pavir.1KG052200.1.v5.1	3445
Pavir.1KG052300.1.v5.1	4006
Pavir.1KG052377.1.v5.1	270
Pavir.1KG052677.1.v5.1	2142
Pavir.1KG052754.1.v5.1	300
Pavir.1KG053000.1.v5.1	2088
Pavir.1KG053054.1.v5.1	1090
Pavir.1KG053200.1.v5.1	1062
Pavir.1KG053300.2.v5.1	1135
Pavir.1KG053400.1.v5.1	1135
Pavir.1KG053431.1.v5.1	828
Pavir.1KG053500.1.v5.1	1000
Pavir.1KG053600.1.v5.1	936
Pavir.1KG053808.1.v5.1	414
Pavir.1KG053977.1.v5.1	924
Pavir.1KG054185.1.v5.1	594
Pavir.1KG054200.1.v5.1	714
Pavir.1KG054300.2.v5.1	1569
Pavir.1KG054354.1.v5.1	1103
Pavir.1KG054577.1.v5.1	1407
Pavir.1KG054677.1.v5.1	2533
Pavir.1KG054900.2.v5.1	775
Pavir.1KG055000.3.v5.1	2443
Pavir.1KG055054.1.v5.1	4650
Pavir.1KG055100.2.v5.1	815
Pavir.1KG055431.1.v5.1	1964
Pavir.1KG055477.3.v5.1	1113
Pavir.1KG055500.1.v5.1	2542
Pavir.1KG055808.1.v5.1	700
Pavir.1KG055877.1.v5.1	390
Pavir.1KG056185.1.v5.1	714
Pavir.1KG056254.1.v5.1	1501
Pavir.1KG056300.1.v5.1	1186
Pavir.1KG056400.1.v5.1	761
Pavir.1KG056600.2.v5.1	1480
Pavir.1KG056631.1.v5.1	504
Pavir.1KG056700.1.v5.1	2736
Pavir.1KG056977.1.v5.1	486
Pavir.1KG057000.1.v5.1	2435
Pavir.1KG057008.1.v5.1	486
Pavir.1KG057077.1.v5.1	2349
Pavir.1KG057100.1.v5.1	1456
Pavir.1KG057200.1.v5.1	2079
Pavir.1KG057300.3.v5.1	3894
Pavir.1KG057385.1.v5.1	1662
Pavir.1KG057454.1.v5.1	1085
Pavir.1KG057677.1.v5.1	664
Pavir.1KG057762.1.v5.1	1242
Pavir.1KG057800.2.v5.1	867
Pavir.1KG057900.5.v5.1	2790
Pavir.1KG058054.1.v5.1	672
Pavir.1KG058100.1.v5.1	1083
Pavir.1KG058139.1.v5.1	327
Pavir.1KG058177.1.v5.1	939
Pavir.1KG058477.3.v5.1	1286
Pavir.1KG058500.1.v5.1	1161
Pavir.1KG058516.1.v5.1	1107
Pavir.1KG058800.1.v5.1	475
Pavir.1KG058893.1.v5.1	399
Pavir.1KG058900.1.v5.1	902
Pavir.1KG059000.1.v5.1	1468
Pavir.1KG059100.2.v5.1	1406
Pavir.1KG059270.1.v5.1	2316
Pavir.1KG059647.1.v5.1	402
Pavir.1KG060024.1.v5.1	372
Pavir.1KG060900.1.v5.1	126
Pavir.1KG061400.1.v5.1	648
Pavir.1KG061500.2.v5.1	1113
Pavir.1KG061800.1.v5.1	1082
Pavir.1KG062000.3.v5.1	2215
Pavir.1KG062100.3.v5.1	1419
Pavir.1KG062177.1.v5.1	237
Pavir.1KG062200.1.v5.1	1764
Pavir.1KG062300.1.v5.1	1240
Pavir.1KG062400.1.v5.1	2120
Pavir.1KG062500.2.v5.1	1587
Pavir.1KG062577.1.v5.1	365
Pavir.1KG062600.4.v5.1	3339
Pavir.1KG062800.1.v5.1	606
Pavir.1KG063000.1.v5.1	1835
Pavir.1KG063100.1.v5.1	2492
Pavir.1KG063177.1.v5.1	132
Pavir.1KG063200.1.v5.1	1803
Pavir.1KG063400.2.v5.1	1636
Pavir.1KG063500.1.v5.1	4634
Pavir.1KG063700.2.v5.1	636
Pavir.1KG063800.1.v5.1	1122
Pavir.1KG063900.1.v5.1	1971
Pavir.1KG064100.1.v5.1	195
Pavir.1KG064300.3.v5.1	1947
Pavir.1KG064477.1.v5.1	960
Pavir.1KG064500.6.v5.1	3662
Pavir.1KG064800.2.v5.1	855
Pavir.1KG065000.2.v5.1	1709
Pavir.1KG065100.1.v5.1	2544
Pavir.1KG065200.1.v5.1	2909
Pavir.1KG065300.1.v5.1	1364
Pavir.1KG065500.1.v5.1	1514
Pavir.1KG065600.4.v5.1	2616
Pavir.1KG065677.1.v5.1	1212
Pavir.1KG065700.3.v5.1	1021
Pavir.1KG066077.1.v5.1	979
Pavir.1KG066100.1.v5.1	1199
Pavir.1KG066200.2.v5.1	804
Pavir.1KG066400.1.v5.1	804
Pavir.1KG066454.1.v5.1	944
Pavir.1KG066500.1.v5.1	644
Pavir.1KG066577.1.v5.1	939
Pavir.1KG066700.1.v5.1	435
Pavir.1KG066800.1.v5.1	10062
Pavir.1KG066831.1.v5.1	336
Pavir.1KG066877.1.v5.1	624
Pavir.1KG066900.3.v5.1	1873
Pavir.1KG067000.3.v5.1	1884
Pavir.1KG067100.1.v5.1	646
Pavir.1KG067200.1.v5.1	5703
Pavir.1KG067300.1.v5.1	1450
Pavir.1KG067400.1.v5.1	4138
Pavir.1KG067500.1.v5.1	2440
Pavir.1KG067577.1.v5.1	243
Pavir.1KG067677.1.v5.1	327
Pavir.1KG067777.1.v5.1	318
Pavir.1KG067800.1.v5.1	2543
Pavir.1KG067954.1.v5.1	390
Pavir.1KG068000.1.v5.1	1403
Pavir.1KG068100.1.v5.1	363
Pavir.1KG068200.1.v5.1	396
Pavir.1KG068400.1.v5.1	322
Pavir.1KG068500.1.v5.1	982
Pavir.1KG068877.1.v5.1	803
Pavir.1KG069000.2.v5.1	1541
Pavir.1KG069200.1.v5.1	594
Pavir.1KG069254.1.v5.1	371
Pavir.1KG069342.1.v5.1	330
Pavir.1KG069400.3.v5.1	1806
Pavir.1KG069500.8.v5.1	3406
Pavir.1KG069600.6.v5.1	1785
Pavir.1KG069642.1.v5.1	1644
Pavir.1KG069700.2.v5.1	2786
Pavir.1KG069800.1.v5.1	678
Pavir.1KG069842.1.v5.1	936
Pavir.1KG069900.1.v5.1	1776
Pavir.1KG070100.1.v5.1	3855
Pavir.1KG070142.1.v5.1	778
Pavir.1KG070200.1.v5.1	1032
Pavir.1KG070300.19.v5.1	5458
Pavir.1KG070400.1.v5.1	1964
Pavir.1KG070500.1.v5.1	906
Pavir.1KG070600.1.v5.1	1605
Pavir.1KG070700.1.v5.1	1897
Pavir.1KG070877.1.v5.1	1563
Pavir.1KG070900.4.v5.1	3393
Pavir.1KG071077.1.v5.1	222
Pavir.1KG071200.1.v5.1	2816
Pavir.1KG071300.1.v5.1	1035
Pavir.1KG071400.6.v5.1	1975
Pavir.1KG071500.1.v5.1	639
Pavir.1KG071600.1.v5.1	1536
Pavir.1KG071700.2.v5.1	1202
Pavir.1KG071800.1.v5.1	405
Pavir.1KG071900.3.v5.1	1805
Pavir.1KG072000.1.v5.1	721
Pavir.1KG072100.13.v5.1	1806
Pavir.1KG072300.1.v5.1	1465
Pavir.1KG072400.4.v5.1	2811
Pavir.1KG072477.1.v5.1	783
Pavir.1KG072500.1.v5.1	4055
Pavir.1KG072600.2.v5.1	1076
Pavir.1KG072700.1.v5.1	837
Pavir.1KG072800.1.v5.1	1344
Pavir.1KG072854.1.v5.1	381
Pavir.1KG072900.1.v5.1	1271
Pavir.1KG073077.1.v5.1	1887
Pavir.1KG073100.2.v5.1	3210
Pavir.1KG073200.1.v5.1	1517
Pavir.1KG073277.1.v5.1	513
Pavir.1KG073400.1.v5.1	3300
Pavir.1KG073600.1.v5.1	2108
Pavir.1KG073700.5.v5.1	1989
Pavir.1KG073777.1.v5.1	369
Pavir.1KG073800.1.v5.1	469
Pavir.1KG073900.1.v5.1	697
Pavir.1KG073977.1.v5.1	402
Pavir.1KG074000.2.v5.1	369
Pavir.1KG074100.1.v5.1	712
Pavir.1KG074177.1.v5.1	613
Pavir.1KG074200.1.v5.1	704
Pavir.1KG074300.8.v5.1	4177
